Life Time Winter Park — Club Experience Audit (Dummy v1),,,,,,,,,,,,,
Question ID,Audit Category,Sub-Category,Question / Checklist Item,Response Type,Pass Criteria,Weight (pts),Generate Task?,Task Title (if flagged),Task Assignee Role,Task Due (days),Task Priority,Notes / Reference,Active?
LOC-004,Locker Rooms,Facility,All locker room lighting fully operational (no dark zones),Pass/Fail,No burned-out fixtures,2,Yes,Replace locker room lighting,Club Facility Specialists & Engineers,2,Medium,Lighting Standard,Yes
AQU-001,Aquatics,Water Quality,Pool water chemistry (chlorine/pH) within safe range,Pass/Fail,Chlorine 1–3 ppm; pH 7.2–7.8,5,Yes,Rebalance pool water chemistry — SAFETY,Aquatics,0,Critical,Pool Safety Protocol,Yes
AQU-002,Aquatics,Water Quality,Pool water temperature within target range,Temperature,83–86°F lap; 90–92°F therapy,3,Yes,Adjust pool heater temperature,Club Facility Specialists & Engineers,1,High,Aquatics Ops Guide,Yes
AQU-003,Aquatics,Safety,Lifeguard stand staffed and rescue equipment present,Pass/Fail,Guard present; equipment complete,5,Yes,Correct aquatics safety coverage,Aquatics,0,Critical,Lifeguard Policy,Yes
AQU-004,Aquatics,Facility,Deck drains clear and pool pump room free of leaks,Pass/Fail,No clogs or active leaks,3,Yes,Inspect/repair pool pump room,Club Facility Specialists & Engineers,2,High,Facilities SOP,Yes
GRP-001,Group Fitness,Cleanliness,Studio floors and mirrors clean; equipment sanitized between classes,Pass/Fail,Clean floors/mirrors; sanitized gear,2,Yes,Clean and sanitize group fitness studio,Housekeeping,1,Medium,Cleanliness Std §5,Yes
GRP-002,Group Fitness,Facility,Studio HVAC maintaining comfortable temperature during class,Temperature,68–72°F during class,3,Yes,Service studio HVAC,Club Facility Specialists & Engineers,2,High,HVAC Comfort Std,Yes
GRP-003,Group Fitness,Equipment,"Cycle bikes, spin shoes clips, and audio system fully functional",Pass/Fail,All bikes and audio working,3,Yes,Repair studio equipment / audio,Club Facility Specialists & Engineers,2,Medium,Studio Equipment Guide,Yes
KID-001,Kids Academy,Safety,Child check-in/out system operational and ratios met,Pass/Fail,System working; ratios compliant,5,Yes,Correct Kids Academy safety compliance,Kids Academy,0,Critical,Child Safety Policy,Yes
KID-002,Kids Academy,Cleanliness,"Toys, mats, and surfaces sanitized; no broken items",Pass/Fail,Sanitized; no broken/hazardous items,3,Yes,Sanitize and inspect Kids Academy,Housekeeping,1,High,Cleanliness Std §6,Yes
CAF-001,LifeCafe,Food Safety,Cold-hold cases within safe temperature range,Temperature,≤ 41°F cold hold,5,Yes,Correct LifeCafe cold-hold temperature — FOOD SAFETY,LifeCafe,0,Critical,Food Safety Code,Yes
CAF-002,LifeCafe,Cleanliness,"Prep surfaces, blenders, and seating area clean",Pass/Fail,No residue; sanitized surfaces,2,Yes,Deep clean LifeCafe prep and seating,LifeCafe,1,Medium,Cleanliness Std §7,Yes
CAF-003,LifeCafe,Service,Average member wait time at counter,Time,≤ 180 seconds,2,No,,,,Low,Service Time Target,Yes
FAC-001,Facility Operations,HVAC,Main HVAC system operating; no comfort complaints logged today,Pass/Fail,System operational; no open complaints,4,Yes,Investigate/repair main HVAC system,Club Facility Specialists & Engineers,2,High,Facilities SOP §HVAC,Yes
FAC-002,Facility Operations,Plumbing,No active plumbing leaks in back-of-house or wet areas,Pass/Fail,No active leaks,4,Yes,Dispatch plumbing repair,Club Facility Specialists & Engineers,1,High,Facilities SOP §Plumbing,Yes
FAC-003,Facility Operations,Electrical,Emergency lighting and exit signs functional,Pass/Fail,All emergency fixtures functional,5,Yes,Repair emergency lighting / exit signage,Club Facility Specialists & Engineers,1,Critical,Life Safety Code,Yes
FAC-004,Facility Operations,Equipment,Parking lot and exterior lighting fully operational,Pass/Fail,No dark exterior zones,3,Yes,Replace exterior lighting,Club Facility Specialists & Engineers,3,Medium,Facilities SOP §Exterior,Yes
FAC-005,Facility Operations,Grounds,Snow/ice cleared from entrances and walkways (Winter Park),Pass/Fail,Entrances/walkways clear and salted,4,Yes,Clear and treat entrance walkways — SAFETY,Club Facility Specialists & Engineers,0,High,Winter Ops Plan,Yes
SAF-001,Safety & Compliance,Emergency,"AEDs present, charged, and within inspection date",Pass/Fail,All AEDs charged and in date,5,Yes,Service/replace AED units — SAFETY,Club Facility Specialists & Engineers,0,Critical,Emergency Response Plan,Yes
SAF-002,Safety & Compliance,Signage,Wet floor signage and hazard signage available and in use,Pass/Fail,Signage present where required,2,Yes,Deploy required safety signage,Club Operations,1,Medium,Safety Std,Yes
